Plot,Name
004-01-0150,Viburnum rufidulum
004-01-0150,Muscadinia rotundifolia var. rotundifolia
004-01-0151,Asimina triloba
004-01-0151,Acer floridanum
004-01-0151,Acer rubrum var. rubrum
004-01-0151,Allium vineale
004-01-0151,Arisaema [pusillum + quinatum + triphyllum]
004-01-0151,Bignonia capreolata
004-01-0151,Boehmeria cylindrica
004-01-0151,Botrypus virginianus
004-01-0151,Campsis radicans
004-01-0151,Carex [abscondita + cumberlandensis]
004-01-0151,Carex gracilescens
004-01-0151,Carex
004-01-0151,Carex striatula
004-01-0151,Carpinus caroliniana
004-01-0151,Carya cordiformis
004-01-0151,Celtis [laevigata + smallii]
004-01-0151,Chasmanthium latifolium
004-01-0151,Benthamidia florida
004-01-0151,Crataegus {flava s.l.}
004-01-0151,Dichanthelium commutatum
004-01-0151,Elymus [glabriflorus + macgregorii + virginicus]
004-01-0151,Euonymus americanus
004-01-0151,Eurybia divaricata
004-01-0151,Fraxinus pennsylvanica
004-01-0151,Galium triflorum
004-01-0151,Geum canadense
004-01-0151,Glyceria [melicaria + septentrionalis + striata]
004-01-0151,Heliopsis helianthoides var. helianthoides
004-01-0151,Ilex opaca
004-01-0151,Impatiens [capensis + pallida]
004-01-0151,Laportea canadensis
004-01-0151,Lindera benzoin
004-01-0151,Liquidambar styraciflua
004-01-0151,Liriodendron tulipifera var. tulipifera
004-01-0151,Lonicera japonica
004-01-0151,Melica mutica
004-01-0151,Microstegium vimineum
004-01-0151,Ophioglossum pycnostichum
004-01-0151,Osmorhiza longistylis
004-01-0151,Oxalis
004-01-0151,Parthenocissus quinquefolia
004-01-0151,Passiflora lutea
004-01-0151,Phryma leptostachya
004-01-0151,Persicaria virginiana
004-01-0151,Polystichum acrostichoides
004-01-0151,Prunus serotina var. serotina
004-01-0151,Ranunculus abortivus
004-01-0151,Ranunculus recurvatus var. recurvatus
004-01-0151,Samolus parviflorus
004-01-0151,Sanicula smallii
004-01-0151,Smilax bona-nox var. bona-nox
004-01-0151,Smilax glauca
004-01-0151,Solidago austrina
004-01-0151,Solidago
004-01-0151,Thalictrum amphibolum
004-01-0151,Toxicodendron radicans var. radicans
004-01-0151,Trillium cuneatum
004-01-0151,Ulmus americana var. americana
004-01-0151,Magnoliophyta {Unknown}
004-01-0151,Verbesina alternifolia
004-01-0151,Viburnum nudum
004-01-0151,Viburnum prunifolium
004-01-0151,Viola
004-01-0151,Muscadinia rotundifolia var. rotundifolia
004-01-0151,Xanthorhiza simplicissima
004-01-0152,Acer rubrum var. rubrum
004-01-0152,[Andropogon + Schizachyrium]
004-01-0152,Chimaphila maculata
004-01-0152,Benthamidia florida
004-01-0152,Dichanthelium commutatum
004-01-0152,Diospyros virginiana
004-01-0152,Fagus grandifolia var. caroliniana
004-01-0152,Hieracium venosum
004-01-0152,Medeola virginiana
004-01-0152,Nyssa sylvatica
004-01-0152,Oxydendrum arboreum
004-01-0152,Pinus echinata
004-01-0152,Quercus alba
004-01-0152,Quercus marilandica var. marilandica
004-01-0152,Quercus montana
004-01-0152,Quercus stellata
004-01-0152,Smilax glauca
004-01-0152,Vaccinium stamineum
004-01-0152,Vaccinium tenellum
004-01-0153,Acer rubrum var. rubrum
004-01-0153,Carex
004-01-0153,Carya glabra
004-01-0153,Danthonia sericea
004-01-0153,Hieracium venosum
004-01-0153,Nyssa sylvatica
004-01-0153,Oxydendrum arboreum
004-01-0153,Pinus echinata
004-01-0153,Quercus coccinea
004-01-0153,Quercus montana
004-01-0153,Smilax glauca
004-01-0153,Vaccinium stamineum
004-01-0153,Vaccinium tenellum
004-01-0153,Muscadinia rotundifolia var. rotundifolia
004-01-0154,Acer rubrum var. rubrum
004-01-0154,Carya tomentosa
004-01-0154,Castanea pumila
004-01-0154,Coreopsis major
004-01-0154,Dichanthelium commutatum
004-01-0154,Diospyros virginiana
004-01-0154,Euphorbia [corollata + pubentissima]
004-01-0154,Gaylussacia dumosa
004-01-0154,Gaylussacia frondosa
004-01-0154,Helianthus divaricatus
004-01-0154,Helianthus laevigatus
004-01-0154,Iris verna var. verna
004-01-0154,Lespedeza hirta
004-01-0154,Liriodendron tulipifera var. tulipifera
004-01-0154,Nyssa sylvatica
004-01-0154,Oxydendrum arboreum
004-01-0154,Parthenium integrifolium
004-01-0154,Pinus echinata
004-01-0154,Pinus palustris
004-01-0154,Pteridium pseudocaudatum
004-01-0154,Quercus alba
004-01-0154,Quercus coccinea
004-01-0154,Quercus marilandica var. marilandica
004-01-0154,Quercus stellata
004-01-0154,Rhus copallinum
004-01-0154,Sassafras albidum
004-01-0154,Silphium [compositum var. compositum + reniforme]
004-01-0154,Solidago odora
004-01-0154,Symphyotrichum patens var. patens
004-01-0154,Tephrosia virginiana
004-01-0154,Toxicodendron pubescens
004-01-0154,Vaccinium pallidum
004-01-0154,Vaccinium stamineum
004-01-0154,Vaccinium tenellum
004-01-0155,Acer leucoderme
004-01-0155,Acer rubrum var. rubrum
004-01-0155,Endodeca serpentaria
004-01-0155,Carex {section Acrocystis}
004-01-0155,Carex
004-01-0155,Carya tomentosa
004-01-0155,Carya glabra
004-01-0155,Benthamidia florida
004-01-0155,Danthonia spicata
004-01-0155,Dichanthelium commutatum
004-01-0155,Diospyros virginiana
004-01-0155,Galium circaezans
004-01-0155,Hexastylis arifolia
004-01-0155,Hieracium venosum
004-01-0155,Hypericum stragulum
004-01-0155,Ipomoea
004-01-0155,Lespedeza repens
004-01-0155,Oxalis
004-01-0155,Pinus echinata
004-01-0155,Piptochaetium avenaceum
004-01-0155,Prunus serotina var. serotina
004-01-0155,Quercus alba
004-01-0155,Quercus velutina
004-01-0155,Scutellaria integrifolia
004-01-0155,Smilax glauca
004-01-0155,Sphenopholis intermedia
004-01-0155,Ulmus alata
004-01-0155,Magnoliophyta {Unknown}
004-01-0155,Vaccinium pallidum
004-01-0155,Muscadinia rotundifolia var. rotundifolia
004-01-0156,Acer rubrum
004-01-0156,Campsis radicans
004-01-0156,Carex blanda
004-01-0156,Carex intumescens var. intumescens
004-01-0156,Carex
004-01-0156,Carpinus caroliniana
004-01-0156,Carya glabra
004-01-0156,Cercis canadensis
004-01-0156,Benthamidia florida
004-01-0156,Danthonia spicata
004-01-0156,Dichanthelium boscii
004-01-0156,Dichanthelium {dichotomum Group}
004-01-0156,Dichanthelium
004-01-0156,Dichanthelium villosissimum var. villosissimum
004-01-0156,Fraxinus [americana + biltmoreana + smallii]
004-01-0156,Ilex opaca
004-01-0156,Juncus
004-01-0156,Juniperus virginiana
004-01-0156,Leersia [oryzoides + virginica]
004-01-0156,Quercus alba
004-01-0156,Quercus phellos
004-01-0156,Quercus stellata
004-01-0156,Ruellia caroliniensis
004-01-0156,Erianthus contortus
004-01-0156,Scleria [nitida + triglomerata]
004-01-0156,Smilax rotundifolia
004-01-0156,Thyrsanthella difformis
004-01-0156,Ulmus alata
004-01-0156,Magnoliophyta {Unknown}
004-01-0156,Muscadinia rotundifolia var. rotundifolia
004-01-0156,Zephyranthes atamasco
004-01-0157,Acer rubrum var. rubrum
004-01-0157,Carya tomentosa
004-01-0157,Chimaphila maculata
004-01-0157,Benthamidia florida
004-01-0157,Danthonia spicata
004-01-0157,Dichanthelium {dichotomum Group}
004-01-0157,Kalmia latifolia
004-01-0157,Nyssa sylvatica
004-01-0157,Oxydendrum arboreum
004-01-0157,Pinus echinata
004-01-0157,Quercus alba
004-01-0157,Quercus montana
004-01-0157,Smilax glauca
004-01-0157,Magnoliophyta {Unknown}
004-01-0157,Vaccinium stamineum
004-01-0157,Muscadinia rotundifolia var. rotundifolia
004-01-0158,Acer rubrum var. rubrum
004-01-0158,Chimaphila maculata
004-01-0158,Benthamidia florida
004-01-0158,Euonymus americanus
004-01-0158,Hieracium venosum
004-01-0158,Oxydendrum arboreum
004-01-0158,Pinus echinata
004-01-0158,Quercus montana
004-01-0158,Smilax glauca
004-01-0158,Vaccinium pallidum
004-01-0158,Vaccinium stamineum
004-01-0158,Muscadinia rotundifolia var. rotundifolia
004-01-0159,Asplenium platyneuron
004-01-0159,Acer leucoderme
004-01-0159,Acer rubrum var. rubrum
004-01-0159,[Andropogon + Schizachyrium]
004-01-0159,Endodeca serpentaria
004-01-0159,Carya glabra
004-01-0159,Clematis viorna
004-01-0159,Clitoria mariana var. mariana
004-01-0159,Benthamidia florida
004-01-0159,Danthonia spicata
004-01-0159,Desmodium rotundifolium
004-01-0159,Dichanthelium boscii
004-01-0159,Euphorbia [corollata + pubentissima]
004-01-0159,Fraxinus [americana + biltmoreana + smallii]
004-01-0159,Juniperus virginiana
004-01-0159,Lonicera sempervirens
004-01-0159,Melica mutica
004-01-0159,Prunus serotina var. serotina
004-01-0159,Prunus umbellata
004-01-0159,Quercus alba
004-01-0159,Quercus marilandica var. marilandica
004-01-0159,Quercus rubra var. rubra
004-01-0159,Quercus stellata
004-01-0159,Rubus flagellaris
004-01-0159,Smilax bona-nox var. bona-nox
004-01-0159,Smilax glauca
004-01-0159,Toxicodendron pubescens
004-01-0159,Vaccinium stamineum
004-01-0159,Viburnum rufidulum
004-01-0159,Muscadinia rotundifolia var. rotundifolia
004-02-0150,Acer leucoderme
004-02-0150,Acer rubrum var. rubrum
004-02-0150,Endodeca serpentaria
004-02-0150,Bignonia capreolata
004-02-0150,Campsis radicans
004-02-0150,Carex crebriflora
004-02-0150,Carex nigromarginata
004-02-0150,Carex
004-02-0150,Carya glabra
004-02-0150,Cercis canadensis
004-02-0150,Benthamidia florida
004-02-0150,Danthonia spicata
004-02-0150,Dichanthelium commutatum
004-02-0150,Euphorbia [corollata + pubentissima]
004-02-0150,Fraxinus [americana + biltmoreana + smallii]
004-02-0150,Hypericum prolificum
004-02-0150,Juniperus virginiana
004-02-0150,Lonicera sempervirens
004-02-0150,Morus rubra
