Plot,CEGL,Alliance,Group,MacroG
105-NISI-0011,CEGL008466,A3265,G020,M883
085-LUNE-0006,CEGL008466,A3265,G020,M883
019-01-0004,CEGL008466,A3265,G020,M883
052-03-0809,CEGL008466,A3265,G020,M883
085-KERR-0009,CEGL008466,A3265,G020,M883
085-LUNE-0010,CEGL008466,A3265,G020,M883
085-KERR-0026,CEGL008466,A3265,G020,M883
120-01-1435,CEGL008466,A3265,G020,M883
129-06-1510,CEGL008466,A3265,G020,M883
118-42-0583,CEGL008466,A3265,G020,M883
019-01-0026,CEGL008466,A3265,G020,M883
085-LUNE-0013,CEGL008466,A3265,G020,M883
085-KERR-0043,CEGL008466,A3265,G020,M883
128-03-1472,CEGL008466,A3265,G020,M883
085-KERR-0008,CEGL008466,A3265,G020,M883
138-08-1620,CEGL008466,A3265,G020,M883
089-09-1227,CEGL008466,A3265,G020,M883
128-08-1470,CEGL008466,A3265,G020,M883
111-02-1350,CEGL008466,A3265,G020,M883
120-10-1434,CEGL008466,A3265,G020,M883
138-05-1621,CEGL008466,A3265,G020,M883
120-03-1431,CEGL008466,A3265,G020,M883
085-KERR-0041,CEGL008466,A3265,G020,M883
089-05-1227,CEGL008466,A3265,G020,M883
046-04-0668,CEGL008466,A3265,G020,M883
082-01-1107,CEGL008466,A3265,G020,M883
059-03-0853,CEGL008466,A3265,G020,M883
052-08-0802,CEGL008466,A3265,G020,M883
134-04-1543,CEGL008466,A3265,G020,M883
129-06-1500,CEGL008466,A3265,G020,M883
085-FPMR-0018,CEGL008466,A3265,G020,M883
138-12-1622,CEGL008466,A3265,G020,M883
129-03-1500,CEGL008466,A3265,G020,M883
105-NISI-0012,CEGL008466,A3265,G020,M883
136-01-0007,CEGL008466,A3265,G020,M883
128-08-1472,CEGL008466,A3265,G020,M883
085-SRSP-0002,CEGL008466,A3265,G020,M883
118-42-0506,CEGL008466,A3265,G020,M883
134-02-1542,CEGL008466,A3265,G020,M883
120-07-1437,CEGL008466,A3265,G020,M883
135-08-1600,CEGL008466,A3265,G020,M883
136-01-0008,CEGL008466,A3265,G020,M883
128-06-1472,CEGL008466,A3265,G020,M883
108-KIMO-0018,CEGL008466,A3265,G020,M883
128-06-1474,CEGL008466,A3265,G020,M883
085-FPMR-0019,CEGL008466,A3265,G020,M883
120-04-1434,CEGL008466,A3265,G020,M883
053-01-0110,CEGL008466,A3265,G020,M883
058-08-0027,CEGL008466,A3265,G020,M883
085-BRUN-0008,CEGL008466,A3265,G020,M883
120-08-1431,CEGL008466,A3265,G020,M883
085-BRUN-0009,CEGL008466,A3265,G020,M883
085-BRUN-0010,CEGL008466,A3265,G020,M883
129-01-1500,CEGL008466,A3265,G020,M883
138-09-1622,CEGL008466,A3265,G020,M883
129-01-1501,CEGL008466,A3265,G020,M883
138-09-1620,CEGL008466,A3265,G020,M883
118-42-0505,CEGL008466,A3265,G020,M883
129-05-1500,CEGL008466,A3265,G020,M883
141-01-0032,CEGL008466,A3265,G020,M883
138-07-1620,CEGL008465,A3265,G020,M883
138-04-1623,CEGL008465,A3265,G020,M883
089-04-1229,CEGL008465,A3265,G020,M883
134-04-1540,CEGL008465,A3265,G020,M883
019-01-0027,CEGL008465,A3265,G020,M883
138-12-1623,CEGL008465,A3265,G020,M883
138-05-1620,CEGL008465,A3265,G020,M883
138-10-1620,CEGL008465,A3265,G020,M883
111-06-1357,CEGL008465,A3265,G020,M883
138-04-1625,CEGL008465,A3265,G020,M883
120-07-1432,CEGL008465,A3265,G020,M883
134-07-1544,CEGL008465,A3265,G020,M883
129-06-1502,CEGL008465,A3265,G020,M883
053-01-0122,CEGL008465,A3265,G020,M883
141-01-0003,CEGL008465,A3265,G020,M883
141-01-0004,CEGL008465,A3265,G020,M883
118-42-0560,CEGL008465,A3265,G020,M883
004-05-0157,CEGL008465,A3265,G020,M883
053-01-0101,CEGL008465,A3265,G020,M883
099-06-0001,CEGL008465,A3265,G020,M883
134-09-1542,CEGL008465,A3265,G020,M883
111-04-1355,CEGL008465,A3265,G020,M883
138-08-1621,CEGL008465,A3265,G020,M883
138-04-1620,CEGL008465,A3265,G020,M883
138-12-1620,CEGL008465,A3265,G020,M883
053-01-0119,CEGL008465,A3265,G020,M883
089-01-1230,CEGL008465,A3265,G020,M883
059-05-0852,CEGL008465,A3265,G020,M883
053-01-0104,CEGL008465,A3265,G020,M883
129-07-1503,CEGL008465,A3265,G020,M883
053-01-0124,CEGL008465,A3265,G020,M883
120-06-1438,CEGL008465,A3265,G020,M883
118-42-0509,CEGL008465,A3265,G020,M883
129-06-1505,CEGL008465,A3265,G020,M883
141-01-0006,CEGL008465,A3265,G020,M883
134-02-1541,CEGL008465,A3265,G020,M883
129-01-1506,CEGL008465,A3265,G020,M883
134-12-1543,CEGL008465,A3265,G020,M883
120-10-1433,CEGL008465,A3265,G020,M883
118-42-0030,CEGL008465,A3265,G020,M883
141-01-0019,CEGL008465,A3265,G020,M883
138-02-1622,CEGL008465,A3265,G020,M883
053-01-0117,CEGL008465,A3265,G020,M883
129-01-1509,CEGL008465,A3265,G020,M883
129-04-1512,CEGL008465,A3265,G020,M883
134-12-1542,CEGL008465,A3265,G020,M883
053-01-0121,CEGL008465,A3265,G020,M883
053-01-0102,CEGL008465,A3265,G020,M883
138-04-1624,CEGL008465,A3265,G020,M883
103-COWP-0017,CEGL006227,A3265,G020,M883
085-MADS-0032,CEGL008412,A0235,G020,M883
085-HALI-0001,CEGL008412,A0235,G020,M883
085-SCRU-0004,CEGL008412,A0235,G020,M883
085-BESP-0005,CEGL008412,A0235,G020,M883
085-SCRU-0002,CEGL008412,A0235,G020,M883
085-SCRU-0003,CEGL008412,A0235,G020,M883
085-TURK-0001,CEGL008412,A0235,G020,M883
085-TURK-0003,CEGL008412,A0235,G020,M883
085-TURK-0005,CEGL008412,A0235,G020,M883
085-TURK-0037,CEGL008412,A0235,G020,M883
085-TURK-0038,CEGL008412,A0235,G020,M883
085-TURK-0042,CEGL008412,A0235,G020,M883
085-FRAN-0015,CEGL008412,A0235,G020,M883
085-BBRP-0001,CEGL008412,A0235,G020,M883
085-FLUV-0016,CEGL008412,A0235,G020,M883
085-TURK-0008,CEGL008412,A0235,G020,M883
085-TURK-0010,CEGL008412,A0235,G020,M883
085-CUMB-0001,CEGL008412,A0235,G020,M883
085-SCRU-0001,CEGL008412,A0235,G020,M883
085-LOUD-0001,CEGL008412,A0235,G020,M883
085-LOUD-0002,CEGL008412,A0235,G020,M883
085-MADS-0001,CEGL008412,A0235,G020,M883
085-JRSP-0001,CEGL008412,A0235,G020,M883
085-NAKE-0003P,CEGL007710,A0235,G020,M883
085-BULL-0007R,CEGL006186,A0235,G020,M883
085-MONF-0002,CEGL006186,A0235,G020,M883
085-WATM-0013,CEGL006186,A0235,G020,M883
085-ABSF-0005,CEGL006186,A0235,G020,M883
085-BULL-0008,CEGL006186,A0235,G020,M883
085-BULL-0004,CEGL006186,A0235,G020,M883
085-BULL-0007P,CEGL006186,A0235,G020,M883
085-BULL-0062,CEGL006186,A0235,G020,M883
085-BULL-0059R,CEGL006186,A0235,G020,M883
085-BULL-0059P,CEGL006186,A0235,G020,M883
085-FRAN-0006,CEGL006186,A0235,G020,M883
085-HENY-0004,CEGL006186,A0235,G020,M883
085-PWFP-0023,CEGL006186,A0235,G020,M883
085-BWNM-0005,CEGL006186,A0235,G020,M883
085-MONF-0004,CEGL006186,A0235,G020,M883
085-BULL-0063,CEGL006186,A0235,G020,M883
085-BWNM-0004,CEGL006186,A0235,G020,M883
085-WATM-0011,CEGL006186,A0235,G020,M883
085-APCO-0004,CEGL006186,A0235,G020,M883
085-BULL-0009,CEGL006186,A0235,G020,M883
085-WATM-0034,CEGL006186,A0235,G020,M883
085-BWNM-0002,CEGL006186,A0235,G020,M883
085-APCO-0006,CEGL006186,A0235,G020,M883
085-AMHE-0004,CEGL006186,A0235,G020,M883
085-WATM-0002,CEGL006186,A0235,G020,M883
085-PWFP-0031,CEGL006186,A0235,G020,M883
046-05-0661,CEGL007291,A0235,G020,M883
052-02-0804,CEGL007543,A3304,G020,M883
085-BLRP-0131,CEGL007543,A3304,G020,M883
085-FSSP-0001,CEGL007543,A3304,G020,M883
046-03-0661,CEGL007543,A3304,G020,M883
077-06-0056,CEGL007543,A3304,G020,M883
052-04-0812,CEGL007543,A3304,G020,M883
094-01-0131,CEGL007543,A3304,G020,M883
085-BULL-0026P,CEGL008512,A3304,G020,M883
085-BULL-0026R,CEGL008512,A3304,G020,M883
085-PWFP-0003P,CEGL006474,A3304,G020,M883
085-ALBE-0015,CEGL006474,A3304,G020,M883
085-MNBP-0018,CEGL006474,A3304,G020,M883
085-MADS-0015,CEGL006474,A3304,G020,M883
085-LASP-0003,CEGL006474,A3304,G020,M883
085-FAIR-0040,CEGL006474,A3304,G020,M883
085-FHRP-0003,CEGL006474,A3304,G020,M883
085-JRSP-0006,CEGL006474,A3304,G020,M883
085-JRSP-0004,CEGL006474,A3304,G020,M883
085-BULL-0033,CEGL006474,A3304,G020,M883
085-LUNE-0007,CEGL006474,A3304,G020,M883
085-FAIR-0035,CEGL006474,A3304,G020,M883
085-SCRU-0020,CEGL006474,A3304,G020,M883
085-JRSP-0005,CEGL006474,A3304,G020,M883
085-LUNE-0008,CEGL006474,A3304,G020,M883
085-SCRU-0031,CEGL006474,A3304,G020,M883
085-PWFP-0008,CEGL006474,A3304,G020,M883
085-PWFP-0005P,CEGL006474,A3304,G020,M883
085-PWFP-0009P,CEGL006474,A3304,G020,M883
085-PWFP-0011,CEGL006474,A3304,G020,M883
085-MADS-0011,CEGL006471,A4126,G742,M883
085-MADS-0033,CEGL006471,A4126,G742,M883
085-SCRU-0029,CEGL006471,A4126,G742,M883
085-TURK-0049,CEGL006471,A4126,G742,M883
085-TURK-0048,CEGL006471,A4126,G742,M883
085-TURK-0014,CEGL006471,A4126,G742,M883
085-SCRU-0030,CEGL006471,A4126,G742,M883
085-BBRP-0003,CEGL008517,A3303,G742,M883
085-LOUD-0018,CEGL008517,A3303,G742,M883
085-MNBP-0017,CEGL004793,A2047,G016,M502
085-MADS-0010,CEGL008449,A3312,G906,M502
085-MADS-0020,CEGL008449,A3312,G906,M502
085-NELS-0003,CEGL008540,A3312,G906,M502
085-NELS-0004,CEGL008540,A3312,G906,M502
085-BEDF-0005,CEGL008540,A3312,G906,M502
085-GRAS-0008P,CEGL008540,A3312,G906,M502
085-GRAS-0003P,CEGL008540,A3312,G906,M502
085-MADS-0013,CEGL006209,A4436,G650,M502
085-GFNP-0030,CEGL006209,A4436,G650,M502
085-MADS-0007,CEGL006209,A4436,G650,M502
085-GFNP-0016,CEGL006209,A4436,G650,M502
085-GFNP-0006,CEGL006209,A4436,G650,M502
085-FAIR-0017,CEGL006216,A4436,G650,M502
085-FAIR-0028,CEGL006216,A4436,G650,M502
085-FAIR-0024,CEGL006216,A4436,G650,M502
085-FAIR-0023,CEGL006216,A4436,G650,M502
085-FAIR-0022,CEGL006216,A4436,G650,M502
085-LOUD-0011,CEGL006216,A4436,G650,M502
085-FAIR-0020,CEGL006216,A4436,G650,M502
085-FAIR-0041,CEGL006216,A4436,G650,M502
085-FAIR-0018,CEGL006216,A4436,G650,M502
085-WATM-0004,CEGL006216,A4436,G650,M502
085-FAIR-0016,CEGL006216,A4436,G650,M502
085-FAIR-0012,CEGL006216,A4436,G650,M502
085-FAIR-0011,CEGL006216,A4436,G650,M502
085-FAIR-0010,CEGL006216,A4436,G650,M502
085-FAIR-0009,CEGL006216,A4436,G650,M502
085-FAIR-0008,CEGL006216,A4436,G650,M502
085-CRSF-0003,CEGL006216,A4436,G650,M502
085-CRSF-0005,CEGL006216,A4436,G650,M502
085-CULP-0005,CEGL006216,A4436,G650,M502
085-CULP-0006,CEGL006216,A4436,G650,M502
085-FAIR-0007,CEGL006216,A4436,G650,M502
085-FAIR-0032,CEGL006216,A4436,G650,M502
085-PHWM-0010,CEGL006216,A4436,G650,M502
085-FAIR-0019,CEGL006216,A4436,G650,M502
085-MNBP-0010,CEGL006216,A4436,G650,M502
085-FAIR-0042,CEGL006216,A4436,G650,M502
085-CRSF-0004,CEGL006216,A4436,G650,M502
085-MNBP-0012,CEGL006216,A4436,G650,M502
085-MNBP-0008,CEGL006216,A4436,G650,M502
085-MNBP-0007,CEGL006216,A4436,G650,M502
085-MNBP-0014,CEGL006216,A4436,G650,M502
085-WATM-0010,CEGL006216,A4436,G650,M502
085-FAIR-0006,CEGL006216,A4436,G650,M502
085-MNBP-0024,CEGL006216,A4436,G650,M502
085-LOUD-0014,CEGL006216,A4436,G650,M502
085-WATM-0022,CEGL006216,A4436,G650,M502
085-MNBP-0015,CEGL006216,A4436,G650,M502
085-MNBP-0022,CEGL006216,A4436,G650,M502
085-MNBP-0031,CEGL006216,A4436,G650,M502
085-MNBP-0032,CEGL006216,A4436,G650,M502
085-WATM-0019,CEGL006216,A4436,G650,M502
085-WATM-0057,CEGL006216,A4436,G650,M502
085-WATM-0027,CEGL006216,A4436,G650,M502
085-FAIR-0021,CEGL006216,A4436,G650,M502
085-PHWM-0001,CEGL006216,A4436,G650,M502
085-FAIR-0002,CEGL006216,A4436,G650,M502
085-FAIR-0005,CEGL006216,A4436,G650,M502
085-WATM-0047,CEGL006216,A4436,G650,M502
085-GRAS-0002P,CEGL008515,A4436,G650,M502
085-GRAS-0001P,CEGL008515,A4436,G650,M502
085-GRAS-0005P,CEGL008515,A4436,G650,M502
085-GRAS-0006P,CEGL008515,A4436,G650,M502
085-GRAS-0007P,CEGL008515,A4436,G650,M502
085-GRAS-0004P,CEGL008515,A4436,G650,M502
085-WATM-0015,CEGL008514,A4436,G650,M502
085-FRAN-0010,CEGL008514,A4436,G650,M502
085-FSSP-0002,CEGL008514,A4436,G650,M502
085-FSSP-0003,CEGL008514,A4436,G650,M502
085-BUCK-0004,CEGL008514,A4436,G650,M502
085-ALBE-0004,CEGL008514,A4436,G650,M502
085-ALBE-0008,CEGL008514,A4436,G650,M502
085-BULL-0058P,CEGL008514,A4436,G650,M502
085-WATM-0032,CEGL008514,A4436,G650,M502
085-WATM-0001,CEGL008514,A4436,G650,M502
085-WATM-0026,CEGL008514,A4436,G650,M502
085-WATM-0024,CEGL008514,A4436,G650,M502
085-WATM-0023,CEGL008514,A4436,G650,M502
085-BULL-0044P,CEGL008514,A4436,G650,M502
085-FAUQ-0003,CEGL008514,A4436,G650,M502
085-NAKE-0004P,CEGL008514,A4436,G650,M502
085-WATM-0039,CEGL008514,A4436,G650,M502
085-WATM-0018,CEGL008514,A4436,G650,M502
085-BULL-0044R,CEGL008514,A4436,G650,M502
085-WHSF-0001,CEGL008514,A4436,G650,M502
085-WATM-0051,CEGL008514,A4436,G650,M502
085-NAKE-0005P,CEGL008514,A4436,G650,M502
085-WATM-0050,CEGL008514,A4436,G650,M502
085-WATM-0048,CEGL008514,A4436,G650,M502
085-WATM-0046,CEGL008514,A4436,G650,M502
085-WATM-0045,CEGL008514,A4436,G650,M502
085-ORAN-0002,CEGL008514,A4436,G650,M502
085-WATM-0052,CEGL008514,A4436,G650,M502
085-NELS-0005,CEGL008514,A4436,G650,M502
085-BULL-0071R,CEGL008514,A4436,G650,M502
085-BULL-0071P,CEGL008514,A4436,G650,M502
085-WATM-0029,CEGL008514,A4436,G650,M502
085-ORAN-0001,CEGL008514,A4436,G650,M502
085-WATM-0012,CEGL008514,A4436,G650,M502
085-BULL-0058R,CEGL008514,A4436,G650,M502
085-MONF-0003,CEGL008514,A4436,G650,M502
085-BULL-0048,CEGL008514,A4436,G650,M502
085-WATM-0059,CEGL008514,A4436,G650,M502
085-WATM-0036,CEGL008514,A4436,G650,M502
085-WATM-0009,CEGL008514,A4436,G650,M502
085-WATM-0014,CEGL008514,A4436,G650,M502
085-WATM-0008,CEGL008514,A4436,G650,M502
085-ALBE-0009,CEGL008539,A4435,G650,M502
085-FLUV-0004,CEGL008539,A4435,G650,M502
085-FSMP-0016,CEGL008539,A4435,G650,M502
085-LASP-0005,CEGL008539,A4435,G650,M502
085-FLUV-0008,CEGL008539,A4435,G650,M502
085-MNBP-0019,CEGL008539,A4435,G650,M502
085-LASP-0004,CEGL008539,A4435,G650,M502
085-SCRU-0033,CEGL006299,A4435,G650,M502
085-WATM-0055,CEGL006299,A4435,G650,M502
046-05-0668,CEGL006299,A4435,G650,M502
085-BULL-0034R,CEGL006299,A4435,G650,M502
085-GWMP-0007,CEGL006299,A4435,G650,M502
085-SCRU-0022,CEGL006299,A4435,G650,M502
085-GWMP-0008,CEGL006299,A4435,G650,M502
085-ALEX-0005,CEGL006299,A4435,G650,M502
085-WATM-0003,CEGL006299,A4435,G650,M502
085-SCRU-0010,CEGL006299,A4435,G650,M502
085-BULL-0020R,CEGL006299,A4435,G650,M502
085-SCRU-0025,CEGL006299,A4435,G650,M502
085-GFNP-0014,CEGL006299,A4435,G650,M502
085-BULL-0040,CEGL006299,A4435,G650,M502
085-BULL-0064P,CEGL006299,A4435,G650,M502
085-APCO-0005,CEGL006299,A4435,G650,M502
085-BULL-0019R,CEGL006299,A4435,G650,M502
085-ALBE-0006P,CEGL006299,A4435,G650,M502
085-GFNP-0045,CEGL006299,A4435,G650,M502
085-GFNP-0039,CEGL006299,A4435,G650,M502
085-TURK-0026,CEGL006299,A4435,G650,M502
085-TURK-0046,CEGL006299,A4435,G650,M502
085-BULL-0055,CEGL006299,A4435,G650,M502
085-BULL-0064R,CEGL006299,A4435,G650,M502
085-WTFP-0003,CEGL006299,A4435,G650,M502
085-BULL-0061,CEGL006299,A4435,G650,M502
085-FAIR-0044,CEGL006299,A4435,G650,M502
085-BULL-0051R,CEGL006299,A4435,G650,M502
085-BULL-0051P,CEGL006299,A4435,G650,M502
085-BULL-0049R,CEGL006299,A4435,G650,M502
085-BULL-0047R,CEGL006299,A4435,G650,M502
085-RIVB-0013,CEGL006299,A4435,G650,M502
085-JRSP-0002,CEGL006299,A4435,G650,M502
085-PITT-0004,CEGL006299,A4435,G650,M502
085-MADS-0009,CEGL006299,A4435,G650,M502
085-KERR-0035,CEGL006299,A4435,G650,M502
085-BULL-0023P,CEGL006299,A4435,G650,M502
085-BULL-0022R,CEGL006299,A4435,G650,M502
085-BULL-0023R,CEGL006299,A4435,G650,M502
085-BULL-0020P,CEGL006299,A4435,G650,M502
085-PATR-0003,CEGL006299,A4435,G650,M502
085-BULL-0019P,CEGL006299,A4435,G650,M502
085-BULL-0047P,CEGL006299,A4435,G650,M502
085-MADS-0027,CEGL006299,A4435,G650,M502
085-BULL-0049P,CEGL006299,A4435,G650,M502
085-GWMP-0014,CEGL006299,A4435,G650,M502
085-GFNP-0015,CEGL006299,A4435,G650,M502
085-BULL-0029P,CEGL006299,A4435,G650,M502
085-BULL-0072R,CEGL006299,A4435,G650,M502
085-BULL-0072P,CEGL006299,A4435,G650,M502
085-BULL-0034P,CEGL006299,A4435,G650,M502
085-SCRU-0012,CEGL006057,A4435,G650,M502
085-TURK-0018,CEGL006057,A4435,G650,M502
085-WATM-0021,CEGL006057,A4435,G650,M502
085-PHWM-0015,CEGL006057,A4435,G650,M502
085-WATM-0040,CEGL006057,A4435,G650,M502
085-BULL-0041,CEGL006057,A4435,G650,M502
085-WATM-0054,CEGL006057,A4435,G650,M502
085-TURK-0050,CEGL006057,A4435,G650,M502
085-SCRU-0009,CEGL006057,A4435,G650,M502
085-TURK-0017,CEGL006057,A4435,G650,M502
085-SCRU-0032,CEGL006057,A4435,G650,M502
085-TURK-0019,CEGL006057,A4435,G650,M502
085-WATM-0028,CEGL008523,A4435,G650,M502
085-WATM-0041,CEGL008523,A4435,G650,M502
085-BULL-0018R,CEGL008523,A4435,G650,M502
085-BULL-0037P,CEGL008523,A4435,G650,M502
085-BULL-0042,CEGL008523,A4435,G650,M502
085-BULL-0043P,CEGL008523,A4435,G650,M502
085-BULL-0070P,CEGL008523,A4435,G650,M502
085-WATM-0037,CEGL008523,A4435,G650,M502
085-BULL-0037R,CEGL008523,A4435,G650,M502
085-BULL-0018P,CEGL008523,A4435,G650,M502
085-BULL-0067P,CEGL008523,A4435,G650,M502
085-BULL-0067R,CEGL008523,A4435,G650,M502
085-WATM-0049,CEGL008523,A4435,G650,M502
085-BULL-0043R,CEGL008523,A4435,G650,M502
085-JRSP-0003,CEGL008524,A4435,G650,M502
085-FAUQ-0002,CEGL006565,A4466,G650,M502
085-KERR-0034,CEGL008521,A4390,G015,M502
085-FSMP-0015,CEGL008521,A4390,G015,M502
085-FLUV-0005,CEGL008521,A4390,G015,M502
085-PHWM-0003,CEGL008521,A4390,G015,M502
085-PWFP-0035,CEGL008521,A4390,G015,M502
085-PATR-0004,CEGL008521,A4390,G015,M502
085-ABSF-0002,CEGL008521,A4390,G015,M502
085-PNWM-0001,CEGL008521,A4390,G015,M502
085-PHWM-0007,CEGL008521,A4390,G015,M502
085-PWFP-0037,CEGL008521,A4390,G015,M502
085-FLUV-0013,CEGL008521,A4390,G015,M502
085-ABSF-0006,CEGL008521,A4390,G015,M502
085-LASP-0006,CEGL008521,A4390,G015,M502
085-ALEX-0003,CEGL008521,A4390,G015,M502
085-PGSF-0011,CEGL008521,A4390,G015,M502
085-PGSF-0007,CEGL008521,A4390,G015,M502
085-PGSF-0004,CEGL008521,A4390,G015,M502
085-PGSF-0003,CEGL008521,A4390,G015,M502
085-KERR-0032,CEGL008521,A4390,G015,M502
085-FBMR-0061,CEGL008521,A4390,G015,M502
085-BESP-0002,CEGL008521,A4390,G015,M502
085-BUCK-0001,CEGL008521,A4390,G015,M502
085-BUCK-0006,CEGL008521,A4390,G015,M502
085-APPO-0002,CEGL008521,A4390,G015,M502
085-GFNP-0012,CEGL008521,A4390,G015,M502
085-CUSF-0028,CEGL008521,A4390,G015,M502
085-ALEX-0001,CEGL008521,A4390,G015,M502
085-FSMP-0006,CEGL008521,A4390,G015,M502
085-CHES-0002,CEGL008521,A4390,G015,M502
085-BULL-0027P,CEGL008521,A4390,G015,M502
085-FLUV-0001,CEGL008521,A4390,G015,M502
085-FLUV-0002,CEGL008521,A4390,G015,M502
085-BULL-0027R,CEGL008521,A4390,G015,M502
085-FLUV-0010,CEGL008521,A4390,G015,M502
085-FSMP-0020,CEGL008521,A4390,G015,M502
085-CUSF-0040,CEGL008521,A4390,G015,M502
085-FSMP-0003,CEGL008521,A4390,G015,M502
085-GFNP-0018,CEGL008521,A4390,G015,M502
085-FBMR-0049,CEGL008521,A4390,G015,M502
085-ABSF-0012,CEGL008521,A4390,G015,M502
085-PWFP-0041,CEGL008521,A4390,G015,M502
085-ABSF-0009,CEGL008521,A4390,G015,M502
085-CUSF-0020,CEGL008521,A4390,G015,M502
085-ABSF-0013,CEGL008521,A4390,G015,M502
085-ABSF-0014,CEGL008521,A4390,G015,M502
085-ABSF-0015,CEGL008521,A4390,G015,M502
085-ABSF-0020,CEGL008521,A4390,G015,M502
085-PWFP-0040,CEGL008521,A4390,G015,M502
085-ABSF-0022,CEGL008521,A4390,G015,M502
085-LOUD-0008,CEGL008521,A4390,G015,M502
085-WTFP-0002,CEGL008521,A4390,G015,M502
085-ALEX-0002,CEGL008521,A4390,G015,M502
085-ABSF-0008,CEGL008521,A4390,G015,M502
052-04-0810,CEGL007230,A4390,G015,M502
046-01-0662,CEGL007230,A4390,G015,M502
046-07-0660,CEGL007692,A4390,G015,M502
046-03-0660,CEGL007519,A4392,G015,M502
046-01-0663,CEGL007519,A4392,G015,M502
052-01-0804,CEGL006271,A4392,G015,M502
046-05-0665,CEGL006271,A4392,G015,M502
052-04-0806,CEGL006271,A4392,G015,M502
052-01-0805,CEGL006271,A4392,G015,M502
052-08-0801,CEGL006271,A4392,G015,M502
052-04-0809,CEGL006271,A4392,G015,M502
046-05-0663,CEGL006271,A4392,G015,M502
138-01-1625,CEGL006271,A4392,G015,M502
138-01-1626,CEGL006271,A4392,G015,M502
052-03-0808,CEGL007267,A0250,G015,M502
046-04-0661,CEGL007267,A0250,G015,M502
052-09-0801,CEGL007267,A0250,G015,M502
052-02-0805,CEGL007267,A0250,G015,M502
052-09-0800,CEGL007267,A0250,G015,M502
046-06-0661,CEGL007267,A0250,G015,M502
046-05-0660,CEGL007267,A0250,G015,M502
138-09-1624,CEGL007493,A3269,G905,M502
134-04-1547,CEGL007493,A3269,G905,M502
128-06-1476,CEGL008427,A3269,G905,M502
118-42-0035,CEGL008427,A3269,G905,M502
134-12-1541,CEGL003765,A3269,G905,M502
128-06-1477,CEGL003765,A3269,G905,M502
085-BULL-0046P,CEGL004996,A0677,G905,M502
085-BULL-0035P,CEGL004996,A0677,G905,M502
085-BULL-0002,CEGL004996,A0677,G905,M502
085-BULL-0022P,CEGL004996,A0677,G905,M502
085-BULL-0050P,CEGL004996,A0677,G905,M502
085-BULL-0024R,CEGL004996,A0677,G905,M502
085-BULL-0024P,CEGL004996,A0677,G905,M502
085-BULL-0032R,CEGL004996,A0677,G905,M502
